name,launchDate,audienceCum8,screen8,audienceCum14,screen14,nation,grade,groupGenre,favor,holiday,like,dislike,distCom,director,actor,actorPower8,actorPower14,directorPower8,directorPower14,distPower8,distPower14,launchDay,series,8hol,14hol
매드 맥스: 분노의 도로,2015-05-14,1166975,799,2287154,799,northA,15,Action/Criminal,1471,0,2005,534,워너브러더스 코리아(주),조지 밀러,"톰 하디,샤를리즈 테론,니콜라스 홀트,조 크라비츠,로지 헌팅턴-휘틀리,라일리 코프,메간 게일,애비 리,코트니 이튼",6566923,11139087,1166975,2287154,898054.19231,1389867.7308,Thu,1,2,5
악의 연대기,2015-05-14,1183194,776,1839347,776,korea,15,Thiller/War,4531,0,5113,582,씨제이이앤엠(주),백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,김태강,정원중,지대한,장준녕,정준원",9285217,13408956.5,1183194,1839347,965818.5,1527981.32,Thu,0,2,5
간신,2015-05-21,726072,697,948493,697,korea,19,History,2567,0,4570,2003,롯데쇼핑㈜롯데엔터테인먼트,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류선영,김강일,정만식,최일화",9148082.5,12407064.5,726072,948493,761607.21053,990233.84211,Thu,0,3,5
스파이,2015-05-21,1093611,665,1699783,665,northA,15,Action/Criminal,1761,0,2016,255,이십세기폭스코리아(주),폴 페이그,"주드 로,제이슨 스타뎀,멜리사 맥카시",2667084.25,3961851.25,722559,1099812,904472.46429,1334770.9286,Thu,0,3,5
홈,2015-05-21,249683,532,334745,532,northA,All,Animation,828,0,968,140,씨제이이앤엠(주),팀 존슨,"짐 파슨스,리한나,제니퍼 로페즈,스티브 마틴",1023405.5,1426101,249683,334745,965818.5,1527981.32,Thu,0,3,5
무뢰한,2015-05-27,330909,482,385781,482,korea,19,Melo/Romance,3506,0,4059,553,CGV아트하우스,오승욱,"김남길,전도연,박성웅,곽도원,김민재,강태영,박지환,정재웅,조민지,조원희,송승현,오하늬,유지연,하은진,이동진,이학주,정재헌,지승현",4340330.4667,5764248.8333,330909,385781,421651.66667,606124.26667,Wed,0,2,4
투모로우랜드,2015-05-27,243782,435,262992,435,northA,12,Action/Criminal,1096,0,1272,176,월트디즈니컴퍼니코리아(주),브래드 버드,"조지 클루니,휴 로리,브릿 로버트슨",731346,788976,243782,262992,1425444.125,2503493.875,Wed,0,2,4
샌 안드레아스,2015-06-03,1138629,847,1527621,847,northA,12,Action/Criminal,3266,0,3676,410,워너브러더스 코리아(주),브래드 페이튼,"드웨인 존슨,알렉산드리아 다다리오",2466949.25,3504640.25,1138629,1527621,898054.19231,1389867.7308,Wed,0,2,4
은밀한 유혹,2015-06-04,127423,394,143502,394,korea,15,Melo/Romance,3949,0,4687,738,씨제이이앤엠(주),윤재구,"임수정,유연석,이경영,박철민,진경,도희,조희성,최민우,이광수,홍정표,민혜경,이동훈,곽민호",1972797.95,2783801.2,127423,143502,965818.5,1527981.32,Thu,0,2,4
쥬라기 월드,2015-06-11,2350583,1290,3733734,1290,northA,12,Action/Criminal,13671,0,15462,1791,유니버설픽쳐스인터내셔널 코리아(유),콜린 트레보로우,"크리스 프랫,주디 그리어,브라이스 달라스 하워드,케이티 맥그라스,제이크 존슨,빈센트 도노프리오",10840967,16887080.75,2350583,3733734,708672.65854,965092.63415,Thu,0,2,4
경성학교: 사라진 소녀들,2015-06-18,325199,489,354119,489,korea,15,Horor/Mistery,7300,0,8640,1340,롯데쇼핑㈜롯데엔터테인먼트,이해영,"박보영,엄지원,박소담,공예지,주보비,박성연,심희섭,고원희,박주희,이혜리,박지선,조원철,최영근,최지명,신수연,김경애,김대성,김대호,오현정,김동현,이다희,황석영,이연정,이예은,이은경,윤정미,서미지",4786869,6442410.25,325199,354119,761607.21053,990233.84211,Thu,0,2,4
극비수사,2015-06-18,1685772,894,2392661,894,korea,15,Drama,8049,0,9189,1140,(주)쇼박스,곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철",9766958.7333,14966948.767,1685772,2392661,1813712.1579,2780266.9474,Thu,0,2,4
소수의견,2015-06-24,293662,398,352913,398,korea,15,Drama,4451,0,5222,771,(주)시네마서비스,김성제,"윤계상,유해진,김옥빈,이경영,장광,권해효,손아람,박주형,이은미,이은우,김의성,조복래,김종수,박충선",7657788.6167,11499824.733,293662,352913,390623.66667,489499,Wed,0,2,4
연평해전,2015-06-24,2068328,1013,3516128,1013,korea,12,Drama,25421,0,28626,3205,(주)넥스트엔터테인먼트월드(NEW),김학순,"김무열,진구,김율호,이현우,이완,이청아,천민희,이한종,박찬희,박혜준,최순조,최승준,최종환,송재호,유형균,박정학,이철민,김강일",10973450.167,16439637,2068328,3516128,856399.86207,1282562.7931,Wed,0,2,4
19곰 테드 2,2015-06-25,137324,297,167144,297,northA,19,Comedy,2480,0,2859,379,유니버설픽쳐스인터내셔널 코리아(유),세스 맥팔레인,"마크 월버그,세스 맥팔레인,아만다 사이프리드,모건 프리먼,리암 니슨",3608531.6667,4921670.4167,137324,167144,708672.65854,965092.63415,Thu,0,2,4
나의 절친 악당들,2015-06-25,126496,384,132615,384,korea,19,Action/Criminal,1261,0,1791,530,이십세기폭스코리아(주),임상수,"류승범,고준희,류현경,샘 오취리,김응수,정원중,양익준,김주혁,이정배,임상수,정인호,최보람,안상완,윤여정,이래규,한효준,홍성훈,이상미,홍의정,이상화,김태영,김형규",5004493.25,7167391.75,126496,132615,904472.46429,1334770.9286,Thu,0,2,4
터미네이터 제니시스,2015-07-02,1986382,1113,2792253,1113,northA,15,Action/Criminal,21550,0,28154,6604,롯데쇼핑㈜롯데엔터테인먼트,앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨",7448781.75,10599091.25,1986382,2792253,761607.21053,990233.84211,Thu,0,2,4
손님,2015-07-09,720435,634,823209,634,korea,15,SF/Fantasy/Adventure,6443,0,7780,1337,씨제이이앤엠(주),김광태,"류승룡,이성민,천우희,이준,정경호,김정영,박시연,이민지,백승호,유재현,이서연,이승준,전국환,정준원",7149512.65,9660579.6667,720435,823209,965818.5,1527981.32,Thu,0,2,4
우먼 인 골드,2015-07-09,80924,252,107389,252,northA,12,Drama,459,0,540,81,(주)팝엔터테인먼트,사이먼 커티스,"헬렌 미렌,라이언 레놀즈,다니엘 브륄",871095.25,1143178.75,80924,107389,121465.5,173698.5,Thu,0,2,4
인사이드 아웃,2015-07-09,1126848,777,2403862,931,northA,All,Animation,2816,0,3102,286,월트디즈니컴퍼니코리아(주),피트 닥터,"다이안 레인,에이미 포엘러,카일 맥라클란,민디 캘링,빌 헤이더",5107874.5,11964038.5,1126848,2403862,1425444.125,2503493.875,Thu,0,2,4
인시디어스 3,2015-07-09,419904,409,732441,416,northA,15,Horor/Mistery,2639,0,3097,458,유니버설픽쳐스인터내셔널 코리아(유),리 워넬,"스테파니 스콧,더못 멀로니,린 샤예",1259712,2197323,419904,732441,708672.65854,965092.63415,Thu,1,2,4
픽셀,2015-07-16,578736,557,679870,557,northA,12,Action/Criminal,6168,0,6795,627,유니버설픽쳐스인터내셔널 코리아(유),크리스 콜럼버스,"아담 샌들러,케빈 제임스,미셸 모나한,피터 딘클리지,애슐리 벤슨",3277714,4095777,578736,679870,708672.65854,965092.63415,Thu,0,2,4
극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,383567,509,500393,509,others,All,Animation,5331,0,5836,505,씨제이이앤엠(주),"타카하시 시게하루,우시로 신지",,1,1,669872.5,1992843,965818.5,1527981.32,Wed,0,2,4
암살,2015-07-22,4689826,1519,7377430,1519,korea,15,Action/Criminal,17305,0,20846,3541,(주)쇼박스,최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭",23480240.55,35787694.217,4689826,7377430,1813712.1579,2780266.9474,Wed,0,2,4
미니언즈,2015-07-29,1405690,792,1914063,792,northA,All,Animation,10950,0,11636,686,유니버설픽쳐스인터내셔널 코리아(유),"피에르 꼬팽,카일 발다","산드라 블록,존 햄,마이클 키튼",4318628,5947933.25,2811380,3828126,708672.65854,965092.63415,Wed,0,2,4
미션 임파서블: 로그네이션,2015-07-30,3779323,1202,5058016,1202,northA,15,Action/Criminal,7851,0,8626,775,롯데쇼핑㈜롯데엔터테인먼트,크리스토퍼 맥쿼리,"톰 크루즈,제레미 레너,사이몬 페그,알렉 볼드윈,레베카 퍼거슨",11226692,15021642.5,3779323,5058016,761607.21053,990233.84211,Thu,1,2,4
명탐정 코난 : 화염의 해바라기,2015-08-05,326368,433,429817,433,others,All,Animation,11388,0,11984,596,씨제이이앤엠(주),시즈노 코분,"타카야마 미나미,야마자키 와카나,코야마 리키야,야마구치 캇페이",1224403.5,1610730.5,362288.5,460544.5,965818.5,1527981.32,Wed,0,2,5
베테랑,2015-08-05,3982844,1064,7230136,1115,korea,15,Action/Criminal,8613,0,9952,1339,씨제이이앤엠(주),류승완,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,김성종,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수",30767027.783,46839201.617,3982844,7230136,965818.5,1527981.32,Wed,0,2,5
미쓰 와이프,2015-08-13,486722,437,702058,437,korea,15,Comedy,4201,0,4930,729,메가박스(주)플러스엠,강효진,"엄정화,송승헌,김상호,라미란,서신애,임보경,강현구,백승호,정지안,조훈휘,최윤철,유영채,홍석현,이승호,이연주,이은정,고수희,안소연,양도연,염동현,황석하,정지훈,조덕제,김병춘,최종률,정유석,이용녀,최일화",3756118.8,5807902.4,486722,702058,693225.23077,986813.84615,Thu,0,3,5
"협녀, 칼의 기억",2015-08-13,399581,572,425752,572,korea,15,History,-38,0,5465,5503,롯데쇼핑㈜롯데엔터테인먼트,박흥식,"이병헌,전도연,김고은,이경영,김태우,이준호,배수빈,문성근,박슬기,장윤성,장은태,강풍,박지훈,고지영,손재영,김수안,김학선",5105800.6167,7218717.0333,351727,426697,761607.21053,990233.84211,Thu,0,3,5
뷰티 인사이드,2015-08-20,989052,648,1557590,648,korea,12,SF/Fantasy/Adventure,10873,0,17219,6346,(주)넥스트엔터테인먼트월드(NEW),백종열,"오상철,한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,유재상,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,이미도,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,신동미,이진성,김시은",19780663.433,29363838.217,989052,1557590,856399.86207,1282562.7931,Thu,0,2,4
퇴마: 무녀굴,2015-08-20,112293,331,119768,331,korea,15,Horor/Mistery,1540,0,1993,453,씨네그루(주)다우기술,김휘,"김성균,유선,천호진,차예련,김혜성,박수민,박시영,임화영,유성훈,윤지민,이상희,이승희,신나리",1939569.5,2371874.75,220438.5,233667.5,281614.25,348647.375,Thu,0,2,4
판타스틱 4,2015-08-20,359522,451,398864,451,northA,12,Action/Criminal,2185,0,3209,1024,이십세기폭스코리아(주),조쉬 트랭크,"마일즈 텔러,케이트 마라,제이미 벨,마이클 B. 조던",2347532.1667,3155678,359522,398864,904472.46429,1334770.9286,Thu,1,2,4
아메리칸 울트라,2015-08-27,157694,341,161382,341,northA,19,Action/Criminal,1786,0,2026,240,씨제이이앤엠(주),니마 누리자데,"제시 아이젠버그,크리스틴 스튜어트,코니 브리튼,토퍼 그레이스,월튼 고긴스,존 레귀자모",1907956,2415369.75,157694,161382,965818.5,1527981.32,Thu,0,2,4
치외법권,2015-08-27,326903,446,345552,446,korea,15,Action/Criminal,2645,0,3298,653,판씨네마(주),신동엽,"임창정,최다니엘,임은경,장광,이경영,문제영,정한비,박영진,임정아,박일우,정형석,조원재,서동수,서진원,이응준,안현준,최병모,방은희,반민정",2725893.95,3646406.2,326903,345552,305844.4,464021.6,Thu,0,2,4
앤트맨,2015-09-03,1680869,949,2506008,949,northA,12,Action/Criminal,4982,0,6457,1475,월트디즈니컴퍼니코리아(주),페이튼 리드,"폴 러드,마이클 더글라스,에반젤린 릴리,코리 스톨",6723476,10024032,1680869,2506008,1425444.125,2503493.875,Thu,0,2,4
오피스,2015-09-03,347983,425,438377,425,korea,15,Thiller/War,3083,0,3593,510,(주)리틀빅픽쳐스,홍원찬,"고아성,박성웅,배성우,김의성,류현경,이채은,오대환,박정민,이정환,최철수,안지혜,이성진,이영수,최병모,기주봉",4194944.9333,5943290.7667,347983,438377,240664.11111,301766.11111,Thu,0,2,4
셀프/리스,2015-09-10,100271,340,110891,340,northA,15,SF/Fantasy/Adventure,695,0,833,138,(주)이수C&E,타셈 싱,"라이언 레놀즈,벤 킹슬리,매튜 구드",1695836.3167,2408789.9167,100271,110891,181013.07692,225892.15385,Thu,0,2,4
함정,2015-09-10,245730,445,257781,445,korea,19,Thiller/War,1472,0,2023,551,(주)인벤트스톤,권형진,"마동석,조한선,김민경,지안,이정원,최선주,하태웅",3315524,4281734.75,245730,257781,245730,257781,Thu,0,2,4
메이즈 러너: 스코치 트라이얼,2015-09-16,1314982,804,2320466,804,northA,12,Action/Criminal,33949,0,35841,1892,이십세기폭스코리아(주),웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍",5534996,9464883,1314982,2320466,904472.46429,1334770.9286,Wed,1,2,6
사도,2015-09-16,2245849,1210,4789782,1210,korea,12,History,19807,0,22459,2652,(주)쇼박스,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연",12037609.5,21809526.333,1363526.3333,2498335.3333,1813712.1579,2780266.9474,Wed,0,2,6
뮨: 달의 요정,2015-09-24,183940,365,244975,365,europe,All,Animation,658,1,747,89,씨네그루(주)다우기술,"알렉상드르 헤보얀,베노이트 필립폰","조슈아 J. 발라드,오마 사이",484840.66667,603068.66667,367880,489950,281614.25,348647.375,Thu,0,4,6
서부전선,2015-09-24,535796,509,597246,509,korea,12,Thiller/War,2987,1,4085,1098,롯데쇼핑㈜롯데엔터테인먼트,천성일,"설경구,여진구,이경영,정성화,정인기,김원해,김태훈,정석원,한민수,조상원,이찬유,김선영,이은형,이소명,유순철,김동규,오성택,김명환,김민지,김종석,김지영,김태훈,박시연,박아형,박지연,박지원,최호중,김시은,조희봉",4485043.5333,5834935.7,535796,597246,761607.21053,990233.84211,Thu,0,4,6
에베레스트,2015-09-24,284437,331,328744,331,northA,12,SF/Fantasy/Adventure,1353,1,1559,206,유니버설픽쳐스인터내셔널 코리아(유),발타자르 코루마쿠르,"제이슨 클락,조슈 브롤린,키이라 나이틀리,샘 워싱턴,제이크 질렌할",2314147,3112745.5,284437,328744,708672.65854,965092.63415,Thu,0,4,6
인턴,2015-09-24,930715,496,1699555,659,northA,12,Comedy,4946,1,5224,278,워너브러더스 코리아(주),낸시 마이어스,"앤 해서웨이,로버트 드니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스",3852168.1667,7301670,930715,1699555,898054.19231,1389867.7308,Thu,0,4,6
탐정 : 더 비기닝,2015-09-24,1532215,764,2162055,764,korea,15,Comedy,2681,1,3319,638,씨제이이앤엠(주),김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한",10154344,16781196.5,1532215,2162055,965818.5,1527981.32,Thu,0,4,6
마션,2015-10-08,2291525,1132,3348174,1132,northA,12,Action/Criminal,6020,0,6812,792,이십세기폭스코리아(주),리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그",7820818.8333,11641820.5,1399545.3333,1993002.6667,904472.46429,1334770.9286,Thu,0,3,5
성난 변호사,2015-10-08,729895,607,1039227,607,korea,15,Action/Criminal,2503,0,2973,470,씨제이이앤엠(주),허종호,"오상철,이선균,김고은,임원희,장현성,최재웅,김윤혜,홍성덕,배유람,권귀덕,조경섭,조경섭,정진근,장명진,이확광,이형섭,이은택,이수민,이기창,유영진,김현정,노영화,송원종,박지영",4294547.75,6068243,729895,1039227,965818.5,1527981.32,Thu,0,3,5
팬,2015-10-08,164154,428,182969,428,northA,All,SF/Fantasy/Adventure,2088,0,2406,318,워너브러더스 코리아(주),조 라이트,"휴 잭맨,가렛 헤드룬드,루니 마라,리바이 밀러,아만다 사이프리드",1201625,1500964.25,164154,182969,898054.19231,1389867.7308,Thu,0,3,5
트랜스포터: 리퓰드,2015-10-15,148790,432,161245,432,europe,15,Action/Criminal,668,0,978,310,씨네그루(주)다우기술,카밀 들라마레,"에드 스크레인,론 샤바놀",1277504.5,1688843,148790,161245,281614.25,348647.375,Thu,1,2,4
더 폰,2015-10-22,1028591,794,1480792,794,korea,15,Thiller/War,4725,0,5205,480,(주)넥스트엔터테인먼트월드(NEW),김봉주,"손현주,엄지원,배성우,김성종,권지훈,조용관,정한빈,정진근,장한별,임태훈,이확광,김성종,이병권,김경애,김광섭,이광기,김영민,김용환,김소영,김주희,김태환,김한준,서병철,백동현,이철민,노정의,장인섭,조달환,황석정",5529137.9,8138378,1028591,1480792,856399.86207,1282562.7931,Thu,0,2,4
특종: 량첸살인기,2015-10-22,508629,776,609717,776,korea,15,Thiller/War,2277,0,2717,440,롯데쇼핑㈜롯데엔터테인먼트,노덕,"조정석,이미숙,이하나,김의성,배성우,김대명,태인호,김수안,김기호,김민재,오주환,이정은,최병모,윤다경",4711826.2333,6467661,508629,609717,761607.21053,990233.84211,Thu,0,2,4
그놈이다,2015-10-28,787901,681,981032,681,korea,15,Thiller/War,5083,0,5658,575,CGV아트하우스,윤준형,"주원,유해진,이유영,류혜영,서현우,이준혁,윤석진,김민서,김현정,박지윤,장인섭,윤다경",6010464.5,9048327.2,787901,981032,421651.66667,606124.26667,Wed,0,2,4
맨 프롬 UNCLE,2015-10-28,101097,361,108304,361,northA,12,Action/Criminal,493,0,557,64,워너브러더스 코리아(주),가이 리치,"헨리 카빌,아미 해머,알리시아 비칸데르,엘리자베스 데비키,휴 그랜트",1915243.5,2310198.8333,242382.5,261368.5,898054.19231,1389867.7308,Wed,0,2,4
하늘을 걷는 남자,2015-10-28,202517,415,232989,415,northA,12,Drama,1162,0,1338,176,유니버설픽쳐스인터내셔널 코리아(유),로버트 저메키스,"조셉 고든 레빗,벤 킹슬리,샬롯 르 본",989323.4,1364736,310339,353549,708672.65854,965092.63415,Wed,0,2,4
더 셰프,2015-11-05,160856,409,184972,409,northA,15,Drama,844,0,914,70,(주)이수C&E,존 웰스,"브래들리 쿠퍼,시에나 밀러,오마 사이,다니엘 브륄,엠마 톰슨,우마 서먼",1410549.4167,1696025.9167,160856,184972,181013.07692,225892.15385,Thu,0,2,4
스파이 브릿지,2015-11-05,204921,425,258229,425,northA,12,Thiller/War,756,0,878,122,이십세기폭스코리아(주),스티븐 스필버그,"톰 행크스,마크 라이런스,오스틴 스토웰",726281.66667,1632759,139519,1275774,904472.46429,1334770.9286,Thu,0,2,4
007 스펙터,2015-11-11,1412150,1105,1711319,1105,europe,15,Action/Criminal,6053,0,6919,866,유니버설픽쳐스인터내셔널 코리아(유),샘 멘데스,"다니엘 크레이그,레아 세이두,크리스토프 왈츠,모니카 벨루치",5278774,6408838,1412150,1711319,708672.65854,965092.63415,Wed,1,2,4
헝거게임: 더 파이널,2015-11-18,541092,661,708673,661,northA,15,Action/Criminal,12169,0,13214,1045,롯데쇼핑㈜롯데엔터테인먼트,프란시스 로렌스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,필립 세이모어 호프만,줄리안 무어,우디 해럴슨,엘리자베스 뱅크스,도날드 서덜랜드",5440250,7136300.25,541092,708673,761607.21053,990233.84211,Wed,1,2,4
내부자들,2015-11-19,2452790,1075,4019452,1129,korea,19,Action/Criminal,6579,0,12198,5619,(주)쇼박스,우민호,"이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,김의성,박진우,남일우,김연지,김진우,문소리,박경순,설우신,손혜진,신정미,윤보배,이선관,이재남,이재정,이주아,신지수,장현준,최정연,황준혁,손종학,조덕제,유재명",16263958.383,23889460.767,1799213.5,2841732,1813712.1579,2780266.9474,Thu,0,2,4
괴물의 아이,2015-11-25,135468,363,179612,363,others,12,Animation,2458,0,2612,154,"CGV아트하우스,(주)리틀빅픽쳐스",호소다 마모루,"야쿠쇼 코지,미야자키 아오이,소메타니 쇼타,히로세 스즈",539252,718065,135468,179612,662315.77778,907890.37778,Wed,0,2,4
도리화가,2015-11-25,280379,563,308033,563,korea,12,History,6150,0,12459,6309,씨제이이앤엠(주),이종필,"류승룡,배수지,송새벽,김남길,이동휘,안재홍,김태훈,조정숙,황태양,권유진,김은지,김은지,김정곤,박선,박솔지,박윤호,이광호,이상우,이유나,이윤정,이준,이지은,이혜진,진선규",4502772.6667,6282704.1667,280379,308033,965818.5,1527981.32,Wed,0,2,4
열정같은소리하고있네,2015-11-25,444742,566,573654,566,korea,15,Drama,7803,0,8738,935,(주)넥스트엔터테인먼트월드(NEW),정기훈,"정재영,박보영,오달수,배성우,류덕환,류현경,진경,윤균상,최홍원,김보람,김정훈,서동원,신정훈,육진영,이미경,이상훈,이영진,이병준,유하복",4217218,5923648.8,444742,573654,856399.86207,1282562.7931,Wed,0,2,4
극적인 하룻밤,2015-12-03,248824,434,318156,434,korea,19,Melo/Romance,2059,0,2589,530,CGV아트하우스,하기호,"윤계상,한예리,박효주,조복래,박병은,정수영,조영균,하정완,한정국,김수정,한지은,이지훈,정수연,김재화,박현지,진선규,김의성",2453803.3333,3117686.1667,248824,318156,421651.66667,606124.26667,Thu,0,2,4
사우스포,2015-12-03,90732,335,100419,335,northA,15,Drama,1624,0,1836,212,씨네그루(주)다우기술,안톤 후쿠아,"제이크 질렌할,레이첼 맥아담스,포레스트 휘테커,나오미 해리스",1891465,2535630.5,423371,506794.5,281614.25,348647.375,Thu,0,2,4
시카리오: 암살자의 도시,2015-12-03,81086,227,120563,227,northA,19,Action/Criminal,369,0,409,40,롯데쇼핑㈜롯데엔터테인먼트,드니 빌뇌브,"에밀리 블런트,베니치오 델 토로,조슈 브롤린",512020.5,645652.83333,277563,356117,761607.21053,990233.84211,Thu,1,2,4
하트 오브 더 씨,2015-12-03,493920,535,798732,535,northA,12,Action/Criminal,1399,0,1575,176,워너브러더스 코리아(주),론 하워드,"크리스 헴스워스,킬리언 머피,벤 위쇼,샬롯 라일리,브렌단 글리슨,벤자민 워커",3142059.5833,5127205.6667,525913,721533,898054.19231,1389867.7308,Thu,0,2,4
